trial_number,trend_scale,appearance_cost_weight,short_memory_size,used_frames,used_rows,mean_row_margin,mean_matrix_range,mean_best_cost,mean_diag_margin
1,0.04128205343826222,0.15601864044243652,3,427,854,0.0035931339715221705,0.003600817967953756,0.03456387046712579,
49,0.034526915668916164,0.06084932009172024,12,427,854,0.0032696628781153894,0.0032799753697820423,0.030142284840469102,
107,0.02113527905483318,0.14082058209854162,11,427,854,0.0032534703482646403,0.003259455237346325,0.018004445228188667,
67,0.015987249922726553,0.12303570556974594,12,427,854,0.002716640989262559,0.002722017027375895,0.01403225426497605,
55,0.0019473305243371756,0.17203914844122553,10,427,854,0.002552911182588515,0.0025584192068502268,0.0031772684221888278,
154,0.0024468970379171472,0.13998619829267878,12,427,854,0.002108222728036248,0.002112702178204381,0.003337119106760303,
151,0.0012535466921257813,0.13111538319106292,12,427,854,0.0019183355350599223,0.0019226112958297293,0.002315514547132354,
116,0.011034827551984667,0.06881691016350779,12,427,854,0.0016971639967733204,0.001700859327471162,0.010066267572821223,
50,0.009171723567983158,0.047919980944161056,12,427,854,0.001297047556738386,0.0013000668492544794,0.008446366574493274,
110,0.004903953172308065,0.06764558224899872,12,427,854,0.0012601095502795365,0.001262178197923121,0.004861481105438558,
